                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.68782,                0.54556,                 1.0227,                0.69222,                0.66304,                0.70517,                0.39919,                 1.5653,                 1.1527,                 1.5429,              0.0012377,              0.0012377,              0.0012377
                     80,                0.71804,                0.56169,                 1.0054,                0.70592,                0.66848,                0.69832,                0.40822,                 1.5342,                 1.1557,                 1.5266,              0.0012278,              0.0012278,              0.0012278
                     81,                0.71939,                0.54365,                 1.0104,                0.73372,                0.59901,                0.68063,                0.39764,                 1.5673,                 1.1914,                 1.5368,              0.0012179,              0.0012179,              0.0012179
                     82,                0.70644,                0.53938,                  1.005,                0.71138,                0.70109,                0.72742,                 0.4197,                  1.495,                 1.0959,                 1.4818,               0.001208,               0.001208,               0.001208
                     83,                0.76838,                 0.6459,                 1.0615,                0.73569,                0.70652,                0.75594,                0.43805,                 1.4641,                 1.1118,                 1.4459,              0.0011981,              0.0011981,              0.0011981
                     84,                0.75189,                0.62499,                 1.0245,                0.78644,                0.54891,                0.69146,                0.40668,                 1.4821,                 1.1754,                 1.4668,              0.0011882,              0.0011882,              0.0011882
                     85,                  0.988,                 1.3348,                 1.2825,                0.68899,                0.67391,                0.72559,                  0.432,                  1.446,                 1.0966,                 1.4517,              0.0011783,              0.0011783,              0.0011783
                     86,                0.77743,                0.56806,                 1.0567,                0.76462,                0.71196,                0.78049,                0.46804,                 1.4198,                0.94705,                 1.4405,              0.0011684,              0.0011684,              0.0011684
                     87,                0.72431,                0.52987,                0.99709,                0.78416,                0.67135,                0.72617,                0.41544,                 1.5005,                 1.0799,                 1.4844,              0.0011585,              0.0011585,              0.0011585
                     88,                0.76777,                0.55227,                 1.0069,                0.70445,                0.71247,                0.72892,                0.42906,                 1.4214,                 1.0872,                 1.4257,              0.0011486,              0.0011486,              0.0011486
                     89,                0.66007,                0.51142,                 1.0051,                0.74331,                0.64526,                0.71975,                0.41308,                 1.4705,                 1.1035,                 1.4542,              0.0011387,              0.0011387,              0.0011387
                     90,                0.71057,                0.53018,                0.98824,                0.78418,                0.65166,                0.76496,                0.46315,                 1.3706,                 1.0824,                 1.3677,              0.0011288,              0.0011288,              0.0011288
                     91,                0.68633,                0.53689,                0.99161,                0.78417,                0.66304,                 0.7706,                0.46674,                 1.4296,                 1.0615,                 1.4135,              0.0011189,              0.0011189,              0.0011189
                     92,                0.73835,                0.57942,                 1.0195,                0.78639,                0.66304,                0.76548,                0.45692,                 1.4292,                  1.061,                 1.4248,               0.001109,               0.001109,               0.001109
                     93,                0.68328,                0.52796,                0.98413,                0.84271,                0.66848,                0.74803,                0.43542,                 1.4646,                 1.0792,                 1.4653,              0.0010991,              0.0010991,              0.0010991
                     94,                0.75458,                0.66322,                  1.028,                0.69957,                0.69022,                0.70751,                 0.4256,                 1.4461,                 1.1146,                 1.4514,              0.0010892,              0.0010892,              0.0010892
                     95,                0.68291,                0.52278,                 1.0059,                 0.7155,                0.69565,                 0.7216,                0.43413,                 1.4398,                 1.1139,                 1.4472,              0.0010793,              0.0010793,              0.0010793
                     96,                0.73188,                0.56558,                 1.0772,                0.75819,                0.68165,                0.74909,                0.45353,                 1.4243,                 1.0398,                 1.4539,              0.0010694,              0.0010694,              0.0010694
                     97,                0.71098,                0.56779,                0.99377,                0.81007,                0.63043,                0.73028,                0.44037,                 1.4357,                 1.0227,                 1.4406,              0.0010595,              0.0010595,              0.0010595
                     98,                 0.6607,                0.49722,                0.98435,                0.75454,                0.63587,                0.70348,                0.42765,                 1.4727,                 1.1171,                 1.4641,              0.0010496,              0.0010496,              0.0010496
                     99,                0.66323,                0.51083,                0.96741,                0.76108,                0.66304,                0.71346,                0.42024,                 1.4734,                 1.0957,                 1.4727,              0.0010397,              0.0010397,              0.0010397
                    100,                0.63486,                0.48882,                0.98417,                0.73528,                0.60326,                0.67646,                 0.3905,                  1.523,                 1.2239,                 1.5098,              0.0010298,              0.0010298,              0.0010298
                    101,                0.65716,                0.48957,                 0.9961,                0.68573,                0.65761,                0.71651,                0.42957,                 1.4374,                 1.1724,                 1.4367,              0.0010199,              0.0010199,              0.0010199
