                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 0.6218,                0.45903,                0.96958,                0.80205,                0.69565,                0.78835,                0.48706,                 1.3566,                0.93857,                 1.3723,              0.0002378,              0.0002378,              0.0002378
                     91,                0.61703,                0.59685,                 0.9642,                0.80555,                0.67545,                0.77656,                0.47795,                 1.3812,                0.95453,                  1.401,               0.000218,               0.000218,               0.000218
                     92,                0.56823,                0.44217,                0.91193,                0.77803,                 0.7337,                0.79656,                0.49662,                 1.3258,                0.92874,                 1.3792,              0.0001982,              0.0001982,              0.0001982
                     93,                0.64094,                0.49142,                 0.9738,                0.78512,                 0.7337,                0.79373,                0.48662,                 1.3475,                0.92112,                 1.4063,              0.0001784,              0.0001784,              0.0001784
                     94,                0.59406,                0.41616,                 1.1021,                0.81977,                0.66743,                0.76503,                0.47467,                 1.3734,                0.92685,                  1.439,              0.0001586,              0.0001586,              0.0001586
                     95,                0.56541,                0.41416,                0.91844,                0.75093,                0.70652,                0.76895,                0.47956,                 1.3777,                0.92768,                  1.438,              0.0001388,              0.0001388,              0.0001388
                     96,                0.57068,                 0.4135,                0.95707,                0.77712,                0.70652,                0.77743,                 0.4839,                 1.3753,                0.93223,                 1.4262,               0.000119,               0.000119,               0.000119
                     97,                0.55461,                0.52266,                0.95702,                0.85107,                0.65761,                 0.7726,                0.48247,                 1.3845,                 0.9442,                 1.4285,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.56938,                0.47942,                 0.9474,                0.87128,                0.66215,                0.78091,                0.47857,                 1.3839,                0.93784,                  1.429,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.58998,                0.52501,                0.95061,                0.87226,                0.65761,                0.77731,                0.48064,                 1.3712,                0.93133,                 1.4179,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.54354,                0.40811,                0.93622,                0.87225,                0.66793,                0.77992,                0.48411,                 1.3556,                0.92406,                  1.409,               3.98e-05,               3.98e-05,               3.98e-05
